FunctionName,Frequency,FilteredFrequency,Category,Source
TOSTR,7268,3043,string_functions,DevExpress
ISNULLOREMPTY,17241,7880,logical_functions,DevExpress
AND,3242,2111,logical_functions,DevExpress
DATEDIFFMINUTE,681,401,datetime_functions,DevExpress
NOW,1743,801,datetime_functions,DevExpress
ADDHOURS,998,685,datetime_functions,DevExpress
CONTAINS,4255,2704,string_functions,DevExpress
TODECIMAL,2224,1335,math_functions,DevExpress
ITEMSTOTEXT,6536,3382,aggregate_functions,Soloplan
DATEDIFFHOUR,186,115,datetime_functions,DevExpress
TOSTRDATE,1035,469,datetime_functions,Soloplan
IIF,5699,2635,logical_functions,DevExpress
IN,3935,1877,logical_functions,DevExpress
GETDATE,1127,659,datetime_functions,DevExpress
LOCALDATETIMENOW,933,573,datetime_functions,DevExpress
ROUND,491,272,math_functions,DevExpress
ITEMSUM,957,510,aggregate_functions,Soloplan
OR,2044,1461,logical_functions,DevExpress
DATETIMETOTIME,63,34,datetime_functions,Soloplan
GETCURRENTUSERGROUPMATCHCODE,276,97,other_functions,Soloplan
GETCURRENTUSERNAME,1744,1052,other_functions,Soloplan
ISNULL,3648,869,logical_functions,DevExpress
UPPER,720,301,string_functions,DevExpress
SUBSTRING,4142,1592,string_functions,DevExpress
GETYEAR,160,73,datetime_functions,DevExpress
ADDDAYS,1303,411,datetime_functions,DevExpress
DATEDIFFDAY,557,318,datetime_functions,DevExpress
TOINT,1952,948,math_functions,DevExpress
PADLEFT,603,240,string_functions,DevExpress
REPLACE,795,563,string_functions,DevExpress
VERZURMATERIAL,1,1,unknown_functions,unknown
CEILING,72,43,math_functions,DevExpress
ABS,35,20,math_functions,DevExpress
ADDMINUTES,615,388,datetime_functions,DevExpress
TODAY,1689,692,datetime_functions,DevExpress
GETCURRENTCLIENTMATCHCODE,96,46,other_functions,Soloplan
STARTSWITH,902,486,string_functions,DevExpress
ADDSECONDS,46,8,datetime_functions,DevExpress
LOCALDATETIMETODAY,38,26,datetime_functions,DevExpress
GENERATENEXTNUMBERFROMNUMBERRANGE,207,76,math_functions,Soloplan
REMOVE,220,136,string_functions,DevExpress
DATEDIFFMONTH,36,24,datetime_functions,DevExpress
NOT,427,214,logical_functions,DevExpress
ITEMCOUNT,2903,1162,aggregate_functions,Soloplan
GETCURRENTORGANIZATIONMATCHCODE,110,42,other_functions,Soloplan
STOP,1,1,unknown_functions,unknown
CHARINDEX,1173,440,string_functions,DevExpress
GETHOUR,539,265,datetime_functions,DevExpress
ISAUGUST,3,1,datetime_functions,DevExpress
SUM,216,63,aggregate_functions,DevExpress
DATEDIFFSECOND,115,61,datetime_functions,DevExpress
TRIM,382,174,string_functions,DevExpress
LEN,395,169,string_functions,DevExpress
COUNT,416,91,aggregate_functions,DevExpress
STRTODATE,41,23,datetime_functions,Soloplan
AFTERREGEX,289,226,string_functions,Soloplan
BEFOREREGEX,132,86,string_functions,Soloplan
BETWEEN,1037,441,logical_functions,DevExpress
ISSAMEDAY,59,38,datetime_functions,DevExpress
CONCAT,756,439,string_functions,DevExpress
GETMONTH,3756,3672,datetime_functions,DevExpress
EXISTS,204,54,aggregate_functions,DevExpress
MIN,166,46,math_functions,DevExpress
MAX,434,153,math_functions,DevExpress
ADDYEARS,25,17,datetime_functions,DevExpress
TOFLOAT,247,181,math_functions,DevExpress
LOCALDATETIMEYESTERDAY,17,17,datetime_functions,DevExpress
CEILINGEXT,57,31,math_functions,Soloplan
LOWER,141,105,string_functions,DevExpress
GETDAYOFWEEK,1331,419,datetime_functions,DevExpress
GETTIMEOFDAY,254,140,datetime_functions,DevExpress
GETMINUTE,380,165,datetime_functions,DevExpress
DATE,1,1,unknown_functions,unknown
LOCALDATETIMETOMORROW,9,7,datetime_functions,DevExpress
IBC,1,1,unknown_functions,unknown
ADDWORKINGDAYS,420,190,datetime_functions,Soloplan
TOLONG,134,51,math_functions,DevExpress
ADDTICKS,45,35,datetime_functions,DevExpress
STRTODATETIME,706,205,datetime_functions,Soloplan
GETDAYOFYEAR,21,10,datetime_functions,DevExpress
WEIGHT,1,1,unknown_functions,unknown
KOMPLETT,1,1,unknown_functions,unknown
GETFIRSTDAYOFMONTHDATE,11,7,datetime_functions,Soloplan
ENDSWITH,56,38,string_functions,DevExpress
GETDAY,3605,3582,datetime_functions,DevExpress
SINGLE,70,17,aggregate_functions,DevExpress
GETMONEYAMOUNT,79,29,unknown_functions,unknown
INSERT,63,53,string_functions,DevExpress
CHAR,68,33,string_functions,DevExpress
ISHOLIDAY,16,6,logical_functions,Soloplan
ADDMONTHS,54,24,datetime_functions,DevExpress
LOCALDATETIMETHISMONTH,10,3,datetime_functions,DevExpress
POLICE,4,4,unknown_functions,unknown
FIRSTDAYOFCW,21,5,datetime_functions,Soloplan
LOCALDATETIMELASTMONTH,16,7,datetime_functions,DevExpress
DIVERS,2,2,unknown_functions,unknown
ISENUM,6,6,logical_functions,Soloplan
REGEX,53,15,string_functions,Soloplan
TOURPALLETS,3,3,unknown_functions,unknown
STRTOTIME,35,16,datetime_functions,Soloplan
DATETIMETOCW,5,5,datetime_functions,Soloplan
GETLASTDAYOFMONTHDATE,81,26,datetime_functions,Soloplan
LADEMETER,1,1,unknown_functions,unknown
SPANNGURTE,1,1,unknown_functions,unknown
SPLIT,1,1,unknown_functions,unknown
PADRIGHT,59,32,string_functions,DevExpress
CONVERTMONEY,83,15,math_functions,Soloplan
GETCLIENTSTATISTICCURRENCY,4,4,other_functions,Soloplan
LASTDAYOFMONTH,3,1,datetime_functions,Soloplan
TODOUBLE,15,9,math_functions,DevExpress
UTCNOW,18,15,datetime_functions,DevExpress
ADDMILLISECONDS,7,5,datetime_functions,DevExpress
CHECKED,1,0,unknown_functions,unknown
ISTHISYEAR,22,0,datetime_functions,DevExpress
ISNEXTYEAR,19,0,datetime_functions,DevExpress
STANDGELD,2,0,unknown_functions,unknown
SURCHARGE,6,0,unknown_functions,unknown
GETDISTANCEBYCOUNTRY,2,0,other_functions,Soloplan
ISJANUARY,8,0,datetime_functions,DevExpress
ISFEBRUARY,11,0,datetime_functions,DevExpress
ISMARCH,2,0,datetime_functions,DevExpress
ISAPRIL,4,0,datetime_functions,DevExpress
ISMAY,2,0,datetime_functions,DevExpress
ISJUNE,4,0,datetime_functions,DevExpress
ISJULY,2,0,datetime_functions,DevExpress
ISSEPTEMBER,4,0,datetime_functions,DevExpress
ISOCTOBER,2,0,datetime_functions,DevExpress
ISNOVEMBER,1,0,datetime_functions,DevExpress
ISDECEMBER,2,0,datetime_functions,DevExpress
DATEDIFFMILLISECOND,1,0,datetime_functions,DevExpress
LOCALDATETIMENEXTMONTH,2,0,datetime_functions,DevExpress
REVERSE,1,0,string_functions,DevExpress
LASTDAYOFCW,3,1,datetime_functions,Soloplan
DATEDIFFYEAR,21,2,datetime_functions,DevExpress
SABIC,12,0,unknown_functions,unknown
GEOCOORDINATEISEMPTY,10,1,logical_functions,Soloplan
RG,1,0,unknown_functions,unknown
LOCALDATETIMEDAYAFTERTOMORROW,9,0,datetime_functions,DevExpress
STRTOTIMESPAN,1,0,datetime_functions,Soloplan
ISTHISWEEK,5,1,datetime_functions,DevExpress
CONTENT,1,0,unknown_functions,unknown
GEWICHT,3,0,unknown_functions,unknown
GETTOLLCOSTSBYCOUNTRY,49,22,other_functions,Soloplan
TERMIN,1,0,unknown_functions,unknown
FIRSTDAYOFMONTH,8,0,datetime_functions,Soloplan
LENGTH,24,8,unknown_functions,unknown
WIDTH,24,8,unknown_functions,unknown
HEIGHT,12,4,unknown_functions,unknown
ISNEWOBJECT,1,0,logical_functions,Soloplan
ISTHISMONTH,6,0,datetime_functions,DevExpress
ISLASTMONTH,3,1,datetime_functions,DevExpress
ADDTIMESPAN,2,0,datetime_functions,DevExpress
FLOOR,63,31,math_functions,DevExpress
EUROPALETTE,2,0,unknown_functions,unknown
KARTON,2,0,unknown_functions,unknown
GLUTEN,1,1,unknown_functions,unknown
INRANGE,19,19,aggregate_functions,DevExpress
DATEDIFFTICK,4,4,datetime_functions,DevExpress
LOCALDATETIMENEXTWEEK,4,2,datetime_functions,DevExpress
GETTOLLDISTANCEBYCOUNTRY,44,22,other_functions,Soloplan
FRESH,1,1,unknown_functions,unknown
LOCALDATETIMETHISWEEK,4,2,datetime_functions,DevExpress
GETBALANCEFORALLLOADINGUNITS,2,2,other_functions,Soloplan
RND,200,100,math_functions,DevExpress
LOG,60,30,math_functions,DevExpress
POWER,20,10,math_functions,DevExpress
GETSECOND,2,1,datetime_functions,DevExpress
INVOICE,6,3,unknown_functions,unknown
NOTE,4,2,unknown_functions,unknown
CONTRACTOR,4,2,unknown_functions,unknown
INVOICES,2,1,unknown_functions,unknown
TRANSPORT,3,3,unknown_functions,unknown
LESOTHO,2,2,unknown_functions,unknown
LOCALDATETIMETWOMONTHSAWAY,1,1,datetime_functions,DevExpress
LOCALDATETIMETHISYEAR,3,1,datetime_functions,DevExpress
LAST,3,2,unknown_functions,unknown
ISBUSINESSOBJECT,8,0,logical_functions,Soloplan
GETFILINGDIRECTORY,25,0,other_functions,Soloplan
TOFORMATTEDTEXT,31,0,string_functions,Soloplan
DIMS,52,0,unknown_functions,unknown
GETCURRENTUSEREMAIL,4,0,other_functions,Soloplan
GETGUID,4,0,other_functions,Soloplan
